datetime,training_data,actual_data,predicted_values 
01/09/22,48,,
02/09/22,53,,
03/09/22,40,,
04/09/22,241,,
05/09/22,54,,
06/09/22,38,,
07/09/22,97,,
08/09/22,147,,
09/09/22,54,,
10/09/22,56,,
11/09/22,74,,
12/09/22,38,,
13/09/22,46,,
14/09/22,57,,
15/09/22,42,,
16/09/22,34,,
17/09/22,49,,
18/09/22,40,,
19/09/22,43,,
20/09/22,53,,
21/09/22,34,,
22/09/22,43,,
23/09/22,54,43,43
24/09/22,64,52,64
25/09/22,28,45,28
26/09/22,132,109,132
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,